TickerSymbol,Date,OpenPrice,ClosePrice,Volume
A,11/10/21,160.94,159.81,903489
AA,11/10/21,48.86,47.24,7042856
AAC,11/10/21,9.81,9.81,663261
AACG,11/10/21,2.3000,2.3100,19682
AACIU,11/10/21,9.90,9.98,4514
AADI,11/10/21,27.04,26.10,69605
AAIC,11/10/21,3.8700,3.8500,120433
AAIN,11/10/21,25.01,25.00,1505
AAL,11/10/21,22.25,22.26,22013231
AAMC,11/10/21,24.40,24.46,1495
AAME,11/10/21,4.3000,4.4100,7621
AAN,11/10/21,26.93,26.39,231657
AAOI,11/10/21,5.85,5.75,1237954
AAON,11/10/21,74.81,76.66,159806
AAP,11/10/21,227.91,232.39,580486
AAPL,11/10/21,150.44,150.81,52994252
AAQC,11/10/21,9.90,9.79,12473
AAT,11/10/21,39.10,39.61,191515
AATC,11/10/21,6.99,6.90,10413
AAU,11/10/21,0.3869,0.4024,1453551
AAWW,11/10/21,86.38,84.21,389559
AB,11/10/21,56.51,56.59,136142
ABB,11/10/21,34.88,35.01,776288
ABBV,11/10/21,116.06,115.61,3037852
ABC,11/10/21,125.98,124.67,818705
ABCB,11/10/21,55.24,54.90,233364
ABCL,11/10/21,15.33,14.71,2250596
ABCM,11/10/21,23.33,23.15,23637
ABEO,11/10/21,0.9691,0.9693,1529365
ABEV,11/10/21,3.1500,3.2000,29337451
ABG,11/10/21,184.82,182.96,259577
ABGI,11/10/21,9.75,9.80,27007
ABIO,11/10/21,2.6800,2.6000,173166
ABM,11/10/21,47.78,47.66,190691
ABMD,11/10/21,359.75,371.35,394857
ABNB,11/10/21,200.32,194.68,8999530
ABOS,11/10/21,14.58,14.78,31683
ABR,11/10/21,19.75,19.77,1572451
ABSI,11/10/21,18.03,14.23,447210
ABST,11/10/21,11.53,11.40,133243
ABT,11/10/21,126.80,126.43,4622069
ABTX,11/10/21,43.05,42.80,99911
ABUS,11/10/21,3.6000,3.5000,1409869
ABVC,11/10/21,3.7000,3.4700,436243
AC,11/10/21,38.15,38.56,12718
ACA,11/10/21,55.91,55.68,177186
ACAD,11/10/21,19.57,21.57,1741743
ACAH,11/10/21,9.71,9.72,4751
ACAHU,11/10/21,9.92,9.92,151
ACAHW,11/10/21,0.6698,0.6699,60
ACB,11/10/21,7.30,7.48,7625164
ACBA,11/10/21,10.10,10.10,600
ACBAW,11/10/21,0.5687,0.5687,56234
ACBI,11/10/21,29.48,29.43,43292
ACC,11/10/21,54.56,54.06,459707
ACCD,11/10/21,39.56,38.41,334257
ACCO,11/10/21,9.18,9.20,248752
ACEL,11/10/21,13.23,13.73,282086
ACER,11/10/21,2.6200,2.4600,70749
ACET,11/10/21,9.32,9.28,79996
ACEV,11/10/21,9.95,9.97,149140
ACEVU,11/10/21,10.64,10.64,285
ACEVW,11/10/21,1.2300,1.2000,18550
ACGL,11/10/21,42.62,42.02,2336120
ACGLN,11/10/21,26.01,25.97,17405
ACGLO,11/10/21,26.18,26.04,18410
ACH,11/10/21,14.00,13.28,227937
ACHC,11/10/21,64.30,64.16,339086
ACHL,11/10/21,6.86,6.62,231250
ACHR,11/10/21,6.14,6.06,2136817
ACHV,11/10/21,8.47,8.32,71316
ACI,11/10/21,33.36,33.76,931527
ACII,11/10/21,9.76,9.76,40900
ACIU,11/10/21,7.37,7.56,637481
ACIW,11/10/21,31.64,33.84,1780010
ACKIT,11/10/21,10.06,10.06,500
ACKIU,11/10/21,10.40,10.50,1222
ACKIW,11/10/21,0.6300,0.6700,12241
ACLS,11/10/21,61.85,62.14,383406
ACM,11/10/21,70.98,71.32,681774
ACMR,11/10/21,106.40,106.54,235078
ACN,11/10/21,366.93,367.47,1787156
ACNB,11/10/21,28.12,28.10,4298
ACOR,11/10/21,3.7400,3.7600,330144
ACP,11/10/21,11.38,11.35,94440
ACQR,11/10/21,9.80,9.76,385956
ACQRU,11/10/21,10.00,9.98,492706
ACQRW,11/10/21,1.1900,1.3000,106600
ACR,11/10/21,15.09,15.05,35408
ACRE,11/10/21,15.87,15.89,325734
ACRO,11/10/21,9.72,9.70,4284
ACRS,11/10/21,16.70,15.55,416783
ACRX,11/10/21,0.8600,0.8440,656862
ACST,11/10/21,1.7000,1.6900,345320
ACT,11/10/21,23.17,22.45,126545
ACTD,11/10/21,9.77,9.75,1581
ACTDW,11/10/21,1.2100,1.2300,815
ACTG,11/10/21,5.51,5.71,919976
ACU,11/10/21,36.60,36.72,5983
ACV,11/10/21,37.25,37.18,22974
ACVA,11/10/21,20.14,19.78,1354103
ACXP,11/10/21,5.58,5.39,49091
ACY,11/10/21,47.01,48.11,19629
ADAG,11/10/21,11.87,11.33,9275
ADALU,11/10/21,10.08,10.08,23696
ADAP,11/10/21,5.68,5.51,616095
ADBE,11/10/21,666.02,667.92,1128004
ADC,11/10/21,70.49,69.77,327354
ADCT,11/10/21,29.00,29.04,195640
ADER,11/10/21,9.90,9.88,35235
ADERU,11/10/21,10.27,10.27,6101
ADERW,11/10/21,0.7703,0.8000,149371
ADES,11/10/21,7.19,7.25,147084
ADEX,11/10/21,9.71,9.71,17266
ADF,11/10/21,10.20,10.23,13228
ADGI,11/10/21,19.21,20.04,607241
ADI,11/10/21,184.46,185.00,2328118
ADIL,11/10/21,3.0900,3.3200,389667
ADILW,11/10/21,0.6399,0.6651,4040
ADM,11/10/21,63.80,64.43,1814507
ADMA,11/10/21,1.3800,1.4200,2158245
ADMP,11/10/21,1.0300,1.0300,2149014
ADMS,11/10/21,8.18,8.15,425271
ADN,11/10/21,9.93,9.44,308119
ADNT,11/10/21,45.13,44.35,1260953
ADNWW,11/10/21,1.9300,1.7800,227915
ADOC,11/10/21,10.17,10.19,2052
ADOCR,11/10/21,0.4196,0.4293,3209
ADOCW,11/10/21,0.2671,0.2900,5100
ADP,11/10/21,227.49,229.20,1024633
ADPT,11/10/21,36.50,34.52,588111
ADRA,11/10/21,9.83,9.82,637
ADS,11/10/21,74.97,75.79,1488897
ADSK,11/10/21,329.07,329.40,1110471
ADT,11/10/21,9.00,10.09,10450412
ADTN,11/10/21,20.75,20.91,270530
ADTX,11/10/21,1.8500,1.9600,2609975
ADUS,11/10/21,103.64,105.32,98950
ADV,11/10/21,8.85,8.88,264908
ADVM,11/10/21,2.2700,2.3000,898899
ADVWW,11/10/21,1.9100,1.9700,25200
ADX,11/10/21,21.73,21.66,182749
ADXN,11/10/21,8.20,8.33,1140
ADXS,11/10/21,0.4766,0.4793,7557744
AE,11/10/21,29.88,29.66,1693
AEAC,11/10/21,9.75,9.75,9874
AEACU,11/10/21,10.06,10.04,482
AEACW,11/10/21,0.6700,0.6612,46259
AEAEU,11/10/21,10.09,10.08,200911
AEE,11/10/21,82.98,83.04,1019181
AEF,11/10/21,8.50,8.47,90904
AEFC,11/10/21,27.19,27.06,27116
AEG,11/10/21,4.9500,4.8900,1266766
AEHA,11/10/21,9.95,10.00,51103
AEHAU,11/10/21,10.20,10.25,3310
AEHAW,11/10/21,0.5190,0.5280,14520
AEHL,11/10/21,2.8500,2.8700,254456
AEHR,11/10/21,23.66,24.47,1387941
AEI,11/10/21,1.9900,1.9000,2629802
AEIS,11/10/21,95.01,92.65,334513
AEL,11/10/21,34.43,35.05,368797
AEM,11/10/21,53.60,55.53,2368517
AEMD,11/10/21,3.1200,3.0500,649488
AENZ,11/10/21,1.8950,1.8900,6813
AEO,11/10/21,26.27,26.85,2756540
AEP,11/10/21,83.12,83.04,3267295
AEPPL,11/10/21,49.36,49.34,7949
AEPPZ,11/10/21,51.40,51.23,192758
AER,11/10/21,69.05,68.63,1701884
AERI,11/10/21,12.72,12.54,446868
AES,11/10/21,23.91,23.89,4687930
AESC,11/10/21,98.18,97.93,146066
AESE,11/10/21,2.0000,2.2400,7816689
AEVA,11/10/21,8.69,8.24,1934420
AEY,11/10/21,2.2800,2.2600,15038
AEYE,11/10/21,10.30,9.91,25383
AEZS,11/10/21,0.6069,0.5870,1242555
AFAQ,11/10/21,9.72,9.77,740
AFAQU,11/10/21,9.96,9.92,502
AFAQW,11/10/21,0.7010,0.7100,2740
AFB,11/10/21,15.00,15.03,34933
AFBI,11/10/21,14.35,14.47,3216
AFCG,11/10/21,23.90,24.00,120160
AFG,11/10/21,144.32,144.77,239284
AFGB,11/10/21,27.74,27.71,3982
AFGC,11/10/21,27.66,27.58,2638
AFGD,11/10/21,29.44,29.56,2515
AFGE,11/10/21,27.54,27.57,1242
AFI,11/10/21,2.4000,2.1900,369397
AFIB,11/10/21,7.83,7.68,206909
AFIN,11/10/21,8.67,8.64,696591
AFINO,11/10/21,26.90,26.80,3232
AFINP,11/10/21,27.10,27.22,12929
AFL,11/10/21,56.75,56.28,1646104
AFMD,11/10/21,6.34,6.23,2424288
AFRM,11/10/21,163.37,157.79,8368868
AFT,11/10/21,16.42,16.50,47980
AFTR,11/10/21,9.71,9.73,36388
AFYA,11/10/21,16.28,15.88,153657
AG,11/10/21,13.83,13.78,3866422
AGAC,11/10/21,9.75,9.76,18170
AGBA,11/10/21,11.02,11.01,23224
AGBAR,11/10/21,0.3420,0.3351,118976
AGBAU,11/10/21,11.89,11.89,1000
AGBAW,11/10/21,0.2889,0.2900,41911
AGC,11/10/21,12.26,15.60,44671283
AGCB,11/10/21,10.12,10.20,179581
AGCO,11/10/21,126.03,122.14,826602
AGCUU,11/10/21,12.87,16.73,112009
AGCWW,11/10/21,3.70,6.08,1954491
AGD,11/10/21,12.10,12.07,29304
AGE,11/10/21,0.8300,0.8063,62369
AGEN,11/10/21,4.1800,4.4500,5690871
AGFS,11/10/21,2.0600,1.9800,30032
AGFY,11/10/21,21.32,22.65,951148
AGGR,11/10/21,9.71,9.74,448
AGGRU,11/10/21,9.99,9.93,205
AGGRW,11/10/21,0.8869,0.9350,4760
AGI,11/10/21,8.00,8.22,3559776
AGIL,11/10/21,8.78,9.69,135052
AGILW,11/10/21,1.0300,1.0800,78388
AGIO,11/10/21,45.24,43.52,360251
AGL,11/10/21,25.50,24.72,935425
AGLE,11/10/21,7.36,7.29,92602
AGM,11/10/21,136.81,128.89,69563
AGMH,11/10/21,11.68,11.43,147838
AGNC,11/10/21,16.12,16.07,3600171
AGNCM,11/10/21,25.89,25.85,9543
AGNCN,11/10/21,25.71,25.66,8903
AGNCO,11/10/21,26.06,26.05,3860
AGNCP,11/10/21,25.48,25.45,9975
AGO,11/10/21,55.39,54.25,462598
AGR,11/10/21,50.21,50.27,291494
AGRI,11/10/21,2.2800,2.1900,462722
AGRIW,11/10/21,0.6201,0.6349,10351
AGRO,11/10/21,9.14,9.40,733514
AGRX,11/10/21,0.7832,0.7606,985779
AGS,11/10/21,9.13,9.07,189747
AGTC,11/10/21,2.7600,2.5600,913007
AGTI,11/10/21,25.23,25.30,281767
AGX,11/10/21,45.60,45.55,61828
AGYS,11/10/21,50.85,51.50,58280
AHCO,11/10/21,25.64,24.45,770296
AHH,11/10/21,15.29,15.24,170915
AHPA,11/10/21,9.97,9.97,3
AHPAU,11/10/21,10.15,10.14,25013
AHPAW,11/10/21,0.6900,0.7000,8233
AHPI,11/10/21,5.0900,4.9500,172438
AHT,11/10/21,14.72,14.28,1548864
AI,11/10/21,49.29,50.84,5635681
AIC,11/10/21,25.32,25.39,903
AIF,11/10/21,16.00,15.98,51507
AIG,11/10/21,59.16,58.76,2998635
AIH,11/10/21,4.0000,3.7973,4851
AIHS,11/10/21,0.6900,0.6604,812339
AIKI,11/10/21,0.8409,0.8259,1649537
AIM,11/10/21,1.7600,1.7600,180362
AIMC,11/10/21,59.53,60.33,215611
AIN,11/10/21,88.55,87.76,97783
AINC,11/10/21,23.55,23.82,63740
AINV,11/10/21,13.25,13.20,363117
AIO,11/10/21,28.57,28.48,77068
AIP,11/10/21,20.30,21.87,233976
AIR,11/10/21,38.92,38.93,177947
AIRC,11/10/21,53.13,53.34,134893
AIRG,11/10/21,11.10,11.04,40289
AIRI,11/10/21,1.0600,1.0600,103986
AIRS,11/10/21,14.99,14.71,118337
AIRT,11/10/21,29.23,29.66,16677
AIRTP,11/10/21,25.24,25.40,9607
AIT,11/10/21,103.18,103.67,80540
AIV,11/10/21,7.91,8.03,786517
AIZ,11/10/21,161.26,160.43,343662
AIZN,11/10/21,27.35,27.26,7470
AJG,11/10/21,160.91,161.56,596813
AJRD,11/10/21,45.08,43.78,439390
AJX,11/10/21,14.53,14.38,143003
AJXA,11/10/21,26.85,26.85,1397
AKA,11/10/21,11.49,11.36,263756
AKAM,11/10/21,108.62,109.32,1385145
AKBA,11/10/21,2.8700,2.8600,2089769
AKIC,11/10/21,9.82,9.77,1413
AKICU,11/10/21,10.00,10.07,350
AKICW,11/10/21,0.7700,0.7875,2900
AKR,11/10/21,22.58,22.45,607998
AKRO,11/10/21,25.66,25.77,155564
AKTS,11/10/21,8.16,8.09,429979
AKTX,11/10/21,1.6600,1.7000,80866
AKU,11/10/21,1.7500,1.7300,62145
AKUS,11/10/21,9.22,9.01,80513
AKYA,11/10/21,12.91,13.33,233148
AL,11/10/21,49.62,49.65,539902
ALAC,11/10/21,11.59,11.59,1608
ALACR,11/10/21,0.5500,0.5700,112940
ALACW,11/10/21,0.3789,0.4198,144512
ALB,11/10/21,278.52,274.57,1051009
ALBO,11/10/21,29.71,29.21,80449
ALC,11/10/21,86.27,87.26,1140437
ALCC,11/10/21,9.88,9.85,1321
ALCO,11/10/21,36.33,36.63,9312
ALDX,11/10/21,9.11,9.25,638045
ALE,11/10/21,63.89,64.15,171401
ALEC,11/10/21,24.86,25.54,840167
ALEX,11/10/21,25.52,25.40,185861
ALF,11/10/21,5.0200,4.9100,245759
ALFIW,11/10/21,2.1800,1.9401,469
ALG,11/10/21,158.25,157.96,21365
ALGM,11/10/21,32.68,32.64,1029709
ALGN,11/10/21,710.87,711.02,779496
ALGS,11/10/21,17.69,17.50,146548
ALGT,11/10/21,192.75,193.51,107983
ALHC,11/10/21,19.40,21.21,977901
ALIM,11/10/21,6.59,6.13,270507
ALIT,11/10/21,11.19,11.98,2305233
ALJJ,11/10/21,1.1600,1.1800,73897
ALK,11/10/21,58.88,58.83,1454308
ALKS,11/10/21,29.33,24.83,4261657
ALKT,11/10/21,29.58,28.75,758031
ALL,11/10/21,117.06,115.19,1429127
ALLE,11/10/21,132.02,132.97,408713
ALLK,11/10/21,93.48,89.28,186177
ALLO,11/10/21,19.65,19.00,856356
ALLT,11/10/21,15.78,13.02,1086692
ALLY,11/10/21,49.32,49.08,3602696
ALNA,11/10/21,0.9942,0.9594,1913539
ALNY,11/10/21,187.97,183.92,471548
ALOT,11/10/21,18.24,18.08,4906
ALPA,11/10/21,9.79,9.79,1304
ALPAU,11/10/21,9.94,9.93,740
ALPAW,11/10/21,0.9610,0.9910,1
ALPN,11/10/21,12.88,12.94,31081
ALPP,11/10/21,3.5100,3.5000,897611
ALRM,11/10/21,89.52,87.84,157377
ALRN,11/10/21,0.8913,0.9200,273073
ALRS,11/10/21,36.43,35.79,10211
ALSN,11/10/21,34.93,35.33,1426849
ALT,11/10/21,10.97,10.92,1308112
ALTG,11/10/21,16.77,16.78,63070
ALTM,11/10/21,65.55,65.28,29772
ALTO,11/10/21,5.98,5.73,2376925
ALTR,11/10/21,80.00,80.06,235943
ALTU,11/10/21,9.90,9.92,16150
ALTUU,11/10/21,10.29,10.29,5
ALTUW,11/10/21,0.8500,0.8499,27381
ALV,11/10/21,102.69,103.14,484799
ALVR,11/10/21,24.04,24.44,92991
ALX,11/10/21,276.00,276.28,7134
ALXO,11/10/21,52.12,40.93,1441326
ALYA,11/10/21,2.8200,2.7700,10280
ALZN,11/10/21,2.6100,2.6400,7507192
AM,11/10/21,10.88,10.82,1772690
AMAL,11/10/21,19.86,19.16,32090
AMAM,11/10/21,13.21,12.98,4555
AMAO,11/10/21,9.97,9.97,25
AMAOU,11/10/21,10.25,10.33,100
AMAOW,11/10/21,0.6580,0.6580,1437
AMAT,11/10/21,152.96,156.29,6879055
AMBA,11/10/21,203.30,201.75,480527
AMBC,11/10/21,17.51,16.35,734817
AMBO,11/10/21,1.2900,1.3300,676425
AMBP,11/10/21,9.62,9.64,445494
AMC,11/10/21,45.06,39.93,37592155
AMCI,11/10/21,9.68,9.70,3409
AMCIU,11/10/21,10.00,10.00,3312
AMCIW,11/10/21,0.7155,0.7074,57819
AMCR,11/10/21,12.20,12.31,4209308
AMCX,11/10/21,48.71,48.72,246094
AMD,11/10/21,150.16,148.92,98442597
AME,11/10/21,139.37,139.36,673132
AMED,11/10/21,182.93,184.25,637726
AMEH,11/10/21,88.21,97.80,600151
AMG,11/10/21,185.12,185.64,147868
AMGN,11/10/21,211.37,211.71,2296367
AMH,11/10/21,39.68,40.30,2008460
AMK,11/10/21,26.82,26.69,230378
AMKR,11/10/21,23.79,23.52,752493
AMN,11/10/21,102.89,104.91,623824
AMNB,11/10/21,39.00,38.66,8434
AMOT,11/10/21,43.65,43.93,28948
AMOV,11/10/21,18.19,18.17,30233
AMP,11/10/21,306.93,305.20,443456
AMPE,11/10/21,1.5900,1.6300,768073
AMPG,11/10/21,4.5600,4.7300,1039518
AMPGW,11/10/21,1.8800,1.8100,5812
AMPH,11/10/21,19.95,20.76,459658
AMPI,11/10/21,9.75,9.76,1563
AMPL,11/10/21,80.27,84.80,763274
AMPY,11/10/21,3.4500,3.3500,697512
AMR,11/10/21,59.07,55.23,383434
AMRC,11/10/21,95.27,92.19,535268
AMRK,11/10/21,67.23,68.93,85284
AMRN,11/10/21,4.1500,4.2100,3118077
AMRS,11/10/21,12.98,7.96,37148516
AMRX,11/10/21,5.25,5.34,699457
AMS,11/10/21,3.0600,3.0900,27013
AMSC,11/10/21,18.28,17.24,454427
AMSF,11/10/21,59.72,57.48,116410
AMST,11/10/21,1.5600,1.4900,159117
AMSWA,11/10/21,32.55,32.74,186412
AMT,11/10/21,278.76,279.92,748185
AMTB,11/10/21,29.98,29.57,45364
AMTBB,11/10/21,28.45,27.55,1735
AMTI,11/10/21,24.12,23.42,225407
AMTX,11/10/21,22.44,20.25,1088572
AMWD,11/10/21,73.86,74.30,60812
AMWL,11/10/21,8.93,8.87,2344551
AMX,11/10/21,18.29,18.34,1395719
AMYT,11/10/21,11.63,11.32,64917
AMZN,11/10/21,"3,488.98","3,576.23",4294922
AN,11/10/21,122.36,125.14,819764
ANAB,11/10/21,37.46,34.99,206150
ANAC,11/10/21,9.74,9.76,1089
ANAT,11/10/21,189.80,189.70,34658
ANDE,11/10/21,37.75,38.37,182343
ANEB,11/10/21,6.93,6.81,799
ANET,11/10/21,526.42,531.36,471878
ANF,11/10/21,45.44,46.09,765360
ANGI,11/10/21,10.85,10.77,1072740
ANGN,11/10/21,4.8700,4.7600,134137
ANGO,11/10/21,30.53,29.77,125463
ANIK,11/10/21,41.70,40.11,45259
ANIP,11/10/21,50.08,48.56,262567
ANIX,11/10/21,5.0400,4.9200,101804
ANNX,11/10/21,16.42,16.40,97507
ANPC,11/10/21,2.5000,2.4600,179025
ANSS,11/10/21,406.25,405.97,331756
ANTE,11/10/21,2.2300,2.2600,179796
ANTM,11/10/21,426.59,430.12,775522
ANVS,11/10/21,37.67,32.09,418309
ANY,11/10/21,7.38,7.27,17261749
ANZU,11/10/21,9.75,9.73,35006
ANZUU,11/10/21,9.99,9.94,38390
ANZUW,11/10/21,0.7601,0.7200,11883
AOD,11/10/21,10.17,10.15,152312
AOMR,11/10/21,18.69,18.38,37132
AON,11/10/21,296.61,297.53,1328856
AOS,11/10/21,77.60,78.71,743097
AOSL,11/10/21,44.17,43.48,479029
AOUT,11/10/21,23.18,23.36,62552
AP,11/10/21,5.06,5.07,25492
APA,11/10/21,30.66,30.01,13452473
APAC,11/10/21,9.82,9.91,17
APACU,11/10/21,10.20,10.08,884
APACW,11/10/21,0.5700,0.5500,3200
APAM,11/10/21,52.02,51.60,376725
APD,11/10/21,312.60,313.84,1161367
APDN,11/10/21,5.44,5.39,176679
APEI,11/10/21,25.90,24.94,125843
APEN,11/10/21,9.27,9.35,100177
APG,11/10/21,22.43,22.45,700095
APGB,11/10/21,9.76,9.83,35545
APH,11/10/21,81.65,82.29,1539820
API,11/10/21,23.78,23.25,437494
APLE,11/10/21,16.15,16.29,2465485
APLS,11/10/21,33.69,37.34,2157347
APLT,11/10/21,15.20,14.88,63746
APM,11/10/21,2.4300,2.4800,435169
APMI,11/10/21,9.70,9.70,149
APMIU,11/10/21,9.90,9.90,100
APMIW,11/10/21,0.7401,0.8000,1
APO,11/10/21,77.04,76.29,1872576
APOG,11/10/21,47.35,47.48,60243
APP,11/10/21,99.64,103.57,2133905
APPF,11/10/21,134.00,132.20,205207
APPH,11/10/21,5.51,5.63,1977639
APPHW,11/10/21,1.2000,1.1600,163198
APPN,11/10/21,98.11,102.05,639610
APPS,11/10/21,72.63,72.65,2472163
APR,11/10/21,35.99,34.09,447227
APRE,11/10/21,5.04,5.05,987109
APRN,11/10/21,8.45,8.90,2098590
APSG,11/10/21,9.83,9.82,29713
APT,11/10/21,5.43,5.27,200720
APTM,11/10/21,9.69,9.70,142349
APTMU,11/10/21,9.87,9.91,3317
APTMW,11/10/21,0.6979,0.7070,3262
APTO,11/10/21,2.4400,2.4400,740246
APTS,11/10/21,13.02,14.32,944866
APTV,11/10/21,173.23,172.47,1928491
APTX,11/10/21,2.3200,2.3000,102048
APVO,11/10/21,15.32,14.10,79072
APWC,11/10/21,3.2900,3.1200,257811
APYX,11/10/21,15.14,14.88,60153
AQB,11/10/21,3.8600,3.8800,1103841
AQMS,11/10/21,2.0500,1.9700,1276973
AQN,11/10/21,14.20,14.26,4882486
AQNA,11/10/21,27.70,27.52,6970
AQNB,11/10/21,27.90,27.91,48768
AQNU,11/10/21,47.60,47.74,254387
AQST,11/10/21,6.17,6.23,656845
AQUA,11/10/21,44.13,45.15,1082536
AR,11/10/21,20.71,20.33,5883357
ARAV,11/10/21,4.0700,4.0300,106426
ARAY,11/10/21,5.46,5.74,5184889
ARBE,11/10/21,11.95,12.94,488500
ARBEW,11/10/21,2.1000,1.8000,301125
ARBG,11/10/21,9.78,9.80,2303
ARBGU,11/10/21,10.00,10.00,219
ARBGW,11/10/21,0.6999,0.6900,100
ARBK,11/10/21,18.37,20.56,1884866
ARC,11/10/21,3.0400,2.8900,164908
ARCB,11/10/21,112.04,111.80,357122
ARCC,11/10/21,21.12,20.89,1780158
ARCE,11/10/21,17.24,17.67,203374
ARCH,11/10/21,89.24,87.59,787612
ARCKU,11/10/21,10.10,10.12,51922
ARCO,11/10/21,4.9000,4.8900,716396
ARCT,11/10/21,38.65,36.23,1117371
ARDC,11/10/21,16.25,16.25,31206
ARDS,11/10/21,3.1000,2.8700,38714
ARDX,11/10/21,1.2100,1.1800,2106458
ARE,11/10/21,206.68,206.95,288597
AREC,11/10/21,2.4300,2.3700,1133772
ARES,11/10/21,86.11,87.47,520342
ARGD,11/10/21,25.94,26.08,10453
ARGO,11/10/21,60.36,60.51,163453
ARGUU,11/10/21,10.12,10.11,2315
ARGX,11/10/21,321.45,323.36,124698
ARHS,11/10/21,12.49,12.22,475741
ARI,11/10/21,15.53,15.47,730208
ARIS,11/10/21,14.19,14.53,343620
ARKO,11/10/21,10.43,10.40,323536
ARKOW,11/10/21,2.2200,2.3000,127773
ARKR,11/10/21,16.38,16.51,10430
ARL,11/10/21,12.37,12.30,3311
ARLO,11/10/21,6.94,7.01,683780
ARLP,11/10/21,11.57,11.28,423334
ARMK,11/10/21,38.90,38.57,2051981
ARMP,11/10/21,3.6100,3.8000,17519
ARNA,11/10/21,61.69,60.09,316736
ARNC,11/10/21,32.10,32.00,420341
AROC,11/10/21,8.66,8.66,415424
AROW,11/10/21,37.49,37.30,12596
ARQQ,11/10/21,20.48,19.90,284286
ARQQW,11/10/21,3.9650,3.9000,68095
ARQT,11/10/21,21.93,22.20,67800
ARR,11/10/21,10.80,10.73,1622551
ARRW,11/10/21,9.71,9.74,3114
ARRWU,11/10/21,9.93,10.00,7
ARRWW,11/10/21,0.6315,0.6601,102
ARRY,11/10/21,21.87,21.57,1531723
ARTA,11/10/21,9.92,9.86,63532
ARTAU,11/10/21,10.19,10.15,55740
ARTAW,11/10/21,0.9387,0.9097,28707
ARTEU,11/10/21,10.10,10.06,853
ARTL,11/10/21,1.0800,0.9620,6624860
ARTLW,11/10/21,0.3176,0.2908,36877
ARTNA,11/10/21,42.13,41.69,14457
ARTW,11/10/21,3.8000,3.8781,2537
ARVL,11/10/21,17.79,12.88,11215903
ARVN,11/10/21,92.83,91.92,270755
ARW,11/10/21,121.03,119.98,242120
ARWR,11/10/21,82.51,81.02,472181
ARYD,11/10/21,9.97,10.00,301
ASA,11/10/21,21.18,21.43,47500
ASAI,11/10/21,13.91,14.15,95702
ASAN,11/10/21,135.44,142.68,3009810
ASAQ,11/10/21,9.82,9.80,6676
ASAX,11/10/21,9.91,9.91,53193
